,title,abstract,paragraph,pub_date
682,Eugenic Abortion,lr deplores Apr 7 ed urging legalization of some abortions,,1965-04-16T05:00:00+0000
683,Abortion Pills Should Be Everywhere,"I bought them online. They’re easy to get, and they’ll change everything.","One afternoon about a year ago, just as the Senate began considering Brett Kavanaugh’s nomination to the Supreme Court, I logged on to Day Night Healthcare, an online pharmacy based in India, and ordered a pack of abortion pills. A few hours later, I got a call from a Day Night customer-service agent with a warning. If my credit-card company called to ask about the purchase, “tell them you approve the charge, but don’t say what it’s for,” the man advised. “If they ask, say it’s gym equipment, or something like that.”",2019-08-03T17:30:06+0000
684,Ireland Votes to Legalize Abortion,"Irish voters repealed a constitutional amendment that banned abortion in nearly all cases, laying the groundwork for a legal path to terminating pregnancies in the predominantly Catholic country.","Irish voters repealed a constitutional amendment that banned abortion in nearly all cases, laying the groundwork for a legal path to terminating pregnancies in the predominantly Catholic country.",2018-05-26T16:31:57+0000
685,The Mexican Model of Abortion Rights,"After years of work by feminist activists, Mexico now finds itself ahead of the United States when it comes to access to abortion.","When the Supreme Court decriminalized abortion with Roe v. Wade, it established the United States as a global leader on abortion rights, decades ahead of many other countries.",2022-05-17T10:00:09+0000
686,Bloggingheads: Late-Term Abortions,"Amanda Marcotte, left, of Pandagon and Mollie Ziegler Hemingway of GetReligion.org debate abortion and the Kermit Gosnell case.","Amanda Marcotte, left, of Pandagon and Mollie Ziegler Hemingway of GetReligion.org debate abortion and the Kermit Gosnell case.",2011-02-01T01:27:22+0000
687,"In France, a Film Has Women Sharing Their Stories of Abortion","Following the release of “Happening,” about an illegal abortion in 1963, the country’s contemporary stigma around the procedure is facing scrutiny.","To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.",2022-05-04T16:38:46+0000
688,Bulwark Against an Abortion Ban? Medical Advances,Improved contraception and abortion pills mean the back-alley days are largely gone. But more restrictive abortion laws would especially affect poor and minority women.,"As partisans on both sides of the abortion divide contemplate a Supreme Court with two Trump appointees, one thing is certain: America even without legal abortion would be very different from America before abortion was legal.",2018-07-01T22:33:43+0000
689,Abortion-Protest Case,"  The Supreme Court agreed to decide whether abortion clinics can use a Federal racketeering law that provides for triple damages to sue anti-abortion groups that organize demonstrations and blockades intended to shut down the clinics.    Article, page A22.",The Supreme Court agreed to decide whether abortion clinics can use a Federal racketeering law that provides for triple damages to sue anti-abortion groups that organize demonstrations and blockades intended to shut down the clinics.,1993-06-15T05:00:00+0000
690,Reaction to Texas Abortion Decision,"On Monday, the Supreme Court struck down parts of a restrictive Texas law that would have severely limited abortion access in the state. Activists outside the Supreme Court reacted to the news.","On Monday, the Supreme Court struck down parts of a restrictive Texas law that would have severely limited abortion access in the state. Activists outside the Supreme Court reacted to the news.",2016-06-27T15:49:11+0000
691,The Hospitals Abdicate on Abortions,"  It is all very well that the Accreditation Council for Graduate Medical Education has voted unanimously to require prospective obstetricians and the hospitals that teach them to include abortion training in their programs, unless they have moral objections. But how do teaching hospitals train obstetricians in a procedure that not many hospitals -- in some states, no hospitals -- any longer do? Fear of harassment and reluctance to alienate prospective donors have driven the hospitals to run for cover.   In New York City, where only 9 percent of abortions in 1993 were performed in hospitals, Planned Parenthood has taken up the slack by training residents in six programs, among them Columbia-Presbyterian's. It has also taken up the financial burden of doing so. A noble undertaking, but isn't there something perverse about Planned Parenthood having to do (with its own money, besides) what a medical school should have been doing all along?","It is all very well that the Accreditation Council for Graduate Medical Education has voted unanimously to require prospective obstetricians and the hospitals that teach them to include abortion training in their programs, unless they have moral objections. But how do teaching hospitals train obstetricians in a procedure that not many hospitals -- in some states, no hospitals -- any longer do? Fear of harassment and reluctance to alienate prospective donors have driven the hospitals to run for cover.",1995-02-27T05:00:00+0000
692,"Anti-Abortion, Pro-Democrat","At a Democrats for Life of America event, Bart Stupak, Kathy Dahlkemper and others defended health care reform on pro-life grounds.","CHARLOTTE, N.C.–The big question heading into the Democratic Convention is just how forcefully the party will defend the Affordable Care Act, which the president fought to pass and then declined to sell. On Tuesday, an unusually vocal endorsement of the law came from an unlikely source: Anti-abortion Democrats.",2012-09-04T20:49:48+0000
693,Republicans’ Messaging on Abortion Puts Democrats on the Defensive,The unusually forceful campaign has created challenges that Democrats did not expect as they struggle to combat misinformation and thwart further efforts to undercut access to abortion.,"WASHINGTON — With grisly claims that Democrats promote “birth day abortions” and are “the party of death,” the Republican Party and its conservative allies have aggressively reset the terms of one of the country’s most divisive and emotionally fraught debates, forcing Democrats to reassess how they should respond to attacks and distortions that portray the entire party as extremist on abortion.",2019-05-16T17:00:13+0000
694,Abortions:,article noting that predictions warning of resistance to new law have never been borne out,"When New York's legal abor tion program went into effect July 1, it was accompanied by a host of dire predictions. Many observers warned of massive resistance on the part of doc tors and hospitals and an un controllable deluge of abortion patients from othcr states. The implementation of the new law, they said, would be frustrated by high costs, lack of service to the poor, general administra tive chaos— all leading, even tually, to a return to the quacks. ",1970-11-29T05:00:00+0000
695,"Gorsuch, Abortion and the Concept of Personhood","The Supreme Court nominee explored the issue in a book, making it fair game for senators. The answer could tell us a lot about his take on Roe v. Wade.","Judge Neil M. Gorsuch has written little about abortion, and we do not know whether he would vote to overturn Roe v. Wade, the 1973 Supreme Court decision that established abortion as a fundamental right. But he has expressed a position on two related subjects, assisted suicide and euthanasia. In his Oxford dissertation and a later book, he defended the inviolability of human life. He rejected the role of states in granting the terminally ill a right to die and offered a legal framework that could be applied to abortion.",2017-03-21T13:51:23+0000
696,Mexico’s Path to Legalizing Abortion,"A landmark Supreme Court ruling in the country has decriminalized the procedure, but will changing the law also change attitudes?","In a major turn of events in Mexico, which has one of the largest Catholic populations in the world, its Supreme Court last week decriminalized abortions.",2021-09-15T10:00:08+0000
697,"Meet Dr. Willie Parker, a Southern Christian Abortion Provider","“I believe that as an abortion provider, I am doing God’s work,” Dr. Parker says.","No issue in America is more toxic than abortion, and that’s partly because it is today so closely associated with religion. While many feminists see abortion as a matter of choice, some Christians see it as murder.",2017-05-06T18:30:06+0000
698,New Zealand Eases Abortion Restrictions,"The change was welcomed by abortion rights advocates, but even in that camp some wondered if lawmakers had gone too far.","Lawmakers voted on Wednesday to liberalize New Zealand’s abortion law and allow unrestricted access during the first half of pregnancy, ending the country’s status as one of the few wealthy nations to limit the grounds for abortion during that period.",2020-03-18T21:05:26+0000
699,How to Talk About Abortion,Removing arguments of individual morality from the equation is the best way to find consensus and determine public policy.,"When moral philosophers and others take up an issue that is at the center of public debate, we tend to frame it as a matter of individual ethics. Is it morally permissible to eat meat? To offer money for sex? To have an abortion? Yet, such questions often fail to focus on the issues that are important and relevant for public policy and, as a result, can derail productive public debate.",2018-03-19T09:45:06+0000
700,How Abortion Views Are Different,"With the Supreme Court set to hear a major abortion case, we look at the state of public opinion.","For nearly 50 years, public opinion has had only a limited effect on abortion policy. The Roe v. Wade decision, which the Supreme Court issued in 1973, established a constitutional right to abortion in many situations and struck down restrictions in dozens of states.",2021-05-19T10:35:08+0000
701,New Zealand Eases Abortion Restrictions,"The change was welcomed by abortion rights advocates, but even in that camp some wondered if lawmakers had gone too far.","Lawmakers voted on Wednesday to liberalize New Zealand’s abortion law and allow unrestricted access during the first half of pregnancy, ending the country’s status as one of the few wealthy nations to limit the grounds for abortion during that period.",2020-03-18T21:05:26+0000
702,How Californians View Abortion,"About one in five support Roe v. Wade being overturned, a number that has remained largely unchanged for more than a decade.",The hundreds of women’s marches staged across the country over the weekend had a clear rallying cry: Don’t let America go the way of Texas.,2021-10-04T12:54:26+0000
703,The Real Science of Abortion Drugs,"Laws in many states actually work against women’s health, by making safe drugs less accessible.","Since 2000, over a million American women have been able to terminate pregnancies safely using drugs instead of surgery. Over the years, doctors have found ways to make these sorts of abortions even safer and more convenient, but anti-choice politicians in many states have pushed restrictions that make the process more onerous and that could even harm women’s health.",2016-09-02T07:21:04+0000
704,A New Era In Abortion,"  When confirmation hearings begin Tuesday for Judge Ruth Bader Ginsburg, it will be the first time in more than a decade that a nominee for the Supreme Court has come before the Senate Judiciary Committee with a clear and unflinching position on whether the Constitution protects the right to abortion.   Beginning with Sandra Day O'Connor's appearance before the committee in 1981, all Supreme Court candidates had sought to make their legal and personal views of abortion as ambiguous as possible. The strong presumption was that there was no issue more perilous to their chances to sit on the Court.","When confirmation hearings begin Tuesday for Judge Ruth Bader Ginsburg, it will be the first time in more than a decade that a nominee for the Supreme Court has come before the Senate Judiciary Committee with a clear and unflinching position on whether the Constitution protects the right to abortion.",1993-07-19T05:00:00+0000
705,Bush and the Abortion Issue,"  The President won another battle with Congress over abortion this week, but in the coming year that issue will pose many tests for him. News analysis, page A22.","The President won another battle with Congress over abortion this week, but in the coming year that issue will pose many tests for him. News analysis, page A22.",1991-11-21T05:00:00+0000
706,The Facts Win Out on Abortion,"Without rhetorical flourishes, the Supreme Court forecloses the strategy of closing down clinics in the supposed aim of protecting women’s health.",SOMEONE landing from Mars on Monday and coming upon Justice Stephen G. Breyer’s majority Supreme Court opinion in the Texas abortion case would have had no hint of the decades-long battle over women’s right to abortion and the dogged efforts by states to put obstacles in their way.,2016-06-27T21:30:30+0000
707,A Major Victory for Abortion Rights,The Supreme Court saw Texas’ dishonest anti-abortion law for what it is: an effort to end legal abortion.,"In the most significant victory in a generation for a woman’s right to make decisions about her own body, the Supreme Court  on Monday struck down Texas’s harsh and dishonest anti-abortion law by a vote of 5 to 3.",2016-06-27T20:31:38+0000
708,The Supreme Court’s Next Abortion Chapter,The procedure is under assault in several states and by the Trump administration. How will the court respond?,"If it seems as if the noose is tightening around women’s access to abortion, that’s because it is.",2018-05-24T09:30:01+0000
709,Abortion Endures as a Political Tripwire,"While same-sex marriage has lost some of its potency as an electoral issue, opponents of Roe v. Wade are getting bolder.",Why is there such a difference in the durability of two foundational issues of American conservatism: gay marriage and abortion?,2014-04-16T03:31:13+0000
710,"The Long, Cruel History of the Anti-Abortion Crusade","Abortion opponents don’t care what happens to an unwanted child, and they’ve never cared about the mother.","Amid the anti-abortion measures being pushed through state legislatures, consider the mazy history of abortion in the United States. Women, capable of determining and managing their reproductive rights, have been undermined by men in power before.",2019-06-23T23:00:02+0000
711,Abortion Case Verdict,"  After two hours and 40 minutes of deliberating, a Florida jury found Michael F. Griffin guilty of first-degree murder in the shooting of Dr. David Gunn, an abortion doctor, outside a clinic in Pensacola last March. Mr. Griffin, a 32-year-old former chemical plant worker, was sentenced to life in prison with parole possible after 25 years.    Article, page 20.","After two hours and 40 minutes of deliberating, a Florida jury found Michael F. Griffin guilty of first-degree murder in the shooting of Dr. David Gunn, an abortion doctor, outside a clinic in Pensacola last March. Mr. Griffin, a 32-year-old former chemical plant worker, was sentenced to life in prison with parole possible after 25 years.",1994-03-06T05:00:00+0000
712,Can the Abortion Pill Be Reversed?,"Through two women’s stories of unplanned pregnancy, we look at an unproven treatment to stop a medication abortion after it’s begun.","Through two women’s stories of unplanned pregnancy, we look at an unproven treatment to stop a medication abortion after it’s begun.",2017-08-10T20:00:02+0000
713,"Daughters, Mothers And Abortion",LEAD: A FRIEND recently asked me how I felt about abortion.,A FRIEND recently asked me how I felt about abortion.,1988-06-05T05:00:00+0000
714,Companies Scramble to Work Out Policies Related to Employee Abortions,"Some have offered to cover travel and other expenses for employees, and are working to ease worker fears about safety and confidentiality.","There is no clear blueprint for corporate engagement on abortion. After numerous companies came forward to announce that they would cover travel expenses for their employees to get abortions, executives have had to move swiftly to both sort out the mechanics of those policies and explain them to a work force concerned about confidentiality and safety.",2022-06-27T22:04:03+0000
715,Letters; On Abortion Solving a Puzzle ,,,1980-05-15T05:00:00+0000
716,Oklahoma’s Unabashed Attack on Abortion,A flatly unconstitutional bill to criminalize the provision of virtually all abortions is near final legislative approval. Governor Fallin should veto it.,"Give Oklahoma lawmakers points, at least, for honesty. They wanted to ban abortion, so they voted effectively to do just that — without offering any pretense of trying to protect women’s health, as supporters of other virulent anti-choice laws in states like Texas have done.",2016-04-25T23:25:07+0000
717,Abortion: The Voice of the Ambivalent Majority,Our democracy may not be strong enough for post-Roe politics.,"If you want to know why our politics are so awful, check out our public debates about abortion in the past 72 hours.",2021-12-03T00:00:08+0000
718,Abortion Rights Groups Take Up the Fight in the States,"Abortion rights advocates filed lawsuits to halt or delay bans on abortion in some states, with judges in Louisiana and Utah temporarily blocking new laws.","SACRAMENTO — The battle over abortion shifted to the states on Monday as a weekend of furious protest and prayerful thanksgiving in the wake of the Supreme Court’s Roe v. Wade reversal gave way to a coast-to-coast wave of lawsuits, legislation and pitched political fights. ",2022-06-27T15:23:26+0000
719,Abortions Rejected,"Your Feb. 13 editorial supported substantial liberalization of New York's abortion laws. Because it is impossible to explore this entire controversy in one letter, I should like to address myself only to the proposed legalization of eugenic abortion.  ",,1965-02-27T05:00:00+0000
720,Abortion Restrictions Passed by States,"State legislatures enacted 70 restrictions on abortion in 2013; over the past three years, they passed more of these laws than they did from 2000 to 2010.","State legislatures enacted 70 restrictions on abortion in 2013; over the past three years, they passed more of these laws than they did from 2000 to 2010.",2014-01-03T18:17:14+0000
721,An Abortion Filibuster Makes Headlines,"Wendy Davis, a state senator from Texas, filibustered a bill that would have become one of the most restrictive anti-abortion laws in the country.","Wendy Davis, a state senator from Texas, filibustered a bill that would have become one of the most restrictive anti-abortion laws in the country.",2013-06-27T19:40:13+0000
722,Conservatives Warn Bush On Tilt to Abortion Rights,"As Republican presidential candidate Gov George W Bush positions himself closer to political center, prominent religious conservatives are expressing concern that he may consider running-mate who supports abortion rights; reactions to Bush's campaigning with Gov Christine Todd Whitman of New Jersey, supporter of abortion rights, and Gov Tom Ridge of Pennsylvania, who has urged Republican Party to modify anti-abortion plank, suggests he could alienate group that is major constituency of party; some Republican officials comment (M)","As Gov. George W. Bush positions himself closer to the political center, prominent religious conservatives are expressing concern about signals he has sent that he might consider a running mate who supports abortion rights. Should he make that choice, several religious conservatives said, he would lose.",2000-04-15T05:00:00+0000
723,Trump Administration Threatens California Over Abortion,"If the state doesn’t stop requiring private insurers to cover abortions, the administration said it will cut off federal funding for certain health programs.",The Trump administration threatened on Friday to withhold federal money from California if the state does not drop its requirement that private insurers cover abortions.,2020-01-24T17:55:19+0000
724,The Unfinished Abortion Battle,"  President Clinton is pro-choice. So, according to a recent ABC News/Washington Post Poll, are most Americans. So, it appears, is Congress.    One might assume that those who believe a woman should be free to make up her own mind about her own reproductive life have nothing more to worry about. One might also assume that every woman who chooses to end a pregnancy, whether rich or poor, urban or rural, will now have easy access to a physician.","President Clinton is pro-choice. So, according to a recent ABC News/Washington Post Poll, are most Americans. So, it appears, is Congress.",1993-05-12T05:00:00+0000
725,Lawmakers Vote to Effectively Ban Abortion in Alabama,"Supporters of the measure hope it will lead the Supreme Court to reconsider Roe v. Wade, which recognized a constitutional right to end a pregnancy.","MONTGOMERY, Ala. — The Alabama Senate approved a measure on Tuesday that would outlaw almost all abortions in the state, setting up a direct challenge to Roe v. Wade, the case that recognized a woman’s constitutional right to end a pregnancy.",2019-05-14T16:23:32+0000
726,Abortion Restrictions in Texas and Beyond,Proliferating measures are making it harder for women to access abortion care.,The tenuous state of women’s basic right to make their own childbearing decisions was made clear on Monday when a federal appeals court in New Orleans heard arguments on a new abortion restriction enacted in July in Texas — one that requires doctors who perform abortions to have admitting privileges at a nearby hospital.,2014-01-09T02:05:09+0000
727,The Abortion Divide Gets Deeper,"With Roe threatened, red and blue states are pulling even further apart.","This week, a Georgia state representative, Ed Setzler, the sponsor of a bill that would ban most abortions as soon as a fetal heartbeat could be detected, spoke to a  conservative group in the Atlanta suburbs about the legal fight he’d embarked on. “We need to maximize our influence over the next couple of weeks and then close this deal,” he said. Then, he continued, conservatives must mobilize behind Georgia’s Republican governor, Brian Kemp, as “he recruits the best legal team in the nation to take this to the highest court in the land.”",2019-03-29T10:00:08+0000
728,Ireland to Hold Abortion Referendum by End of May,A public vote on whether to repeal a constitutional ban on abortion will test how much attitudes have changed in the country.,"DUBLIN — The Irish government on Monday formally committed to hold a historic referendum on abortion, confirming that a vote will be held by the end of May.",2018-01-29T23:44:17+0000
729,A Culture Warrior Goes Quiet: DeSantis Dodges Questions on Abortion Plans,Gov. Ron DeSantis of Florida faces political pressure from Republicans to further curb abortions — and risks to his re-election campaign and any presidential aspirations if he goes too far.,"When the Supreme Court erased the constitutional right to an abortion last month, Gov. Ron DeSantis of Florida was among the many Republicans who celebrated. “The prayers of millions have been answered,” he tweeted.",2022-07-12T16:06:44+0000
730,DeSantis Suspends Tampa Prosecutor Who Vowed Not to Criminalize Abortion,"The stance of Andrew H. Warren, the elected state attorney of Hillsborough County, was reflected by several other prosecutors across the country.","MIAMI — Gov. Ron DeSantis of Florida suspended the top prosecutor in Tampa on Thursday, accusing him of incompetence and neglect of duty for vowing not to prosecute those who seek or provide abortions.",2022-08-04T18:01:05+0000
731,Whittling Away Abortion Access,"With the prospect of a Trump appointment to the Supreme Court, Republican-led states continue to pass abortion restrictions. Ohio is the latest.","The Ohio Legislature passed a bill on Tuesday to ban abortion at six weeks, with a shout-out by the top Senate Republican, Keith Faber, to the incoming president. Donald J. Trump’s election motivated Republicans, who had introduced similar bills before without getting them across the finish line, Senate President Faber suggested. He also said of the ban’s prospects of being upheld in court, “I think it has a better chance than before.”",2016-12-09T17:49:37+0000
732,A Culture Warrior Goes Quiet: DeSantis Dodges Questions on Abortion Plans,Gov. Ron DeSantis of Florida faces political pressure from Republicans to further curb abortions — and risks to his re-election campaign and any presidential aspirations if he goes too far.,"When the Supreme Court erased the constitutional right to an abortion last month, Gov. Ron DeSantis of Florida was among the many Republicans who celebrated. “The prayers of millions have been answered,” he tweeted.",2022-07-12T16:06:44+0000
733,Kansas Abortion Vote Tests Political Energy in Post-Roe America,"On Tuesday, Kansans will decide whether to pass a constitutional amendment that could lead to far-reaching abortion restrictions or an outright ban on the procedure.",Follow live updates on Kansas election results.,2022-07-31T07:00:13+0000
734,Nebraska Law Sets Limits on Abortion,Proponents of the new law say they want to spare fetuses pain. Critics think the goal is to set up a challenge to Roe v. Wade.," Gov. Dave Heineman of Nebraska signed a law on Tuesday banning most abortions 20 weeks after conception or later on the theory that a fetus, by that stage in pregnancy, has the capacity to feel pain. The law, which appears nearly certain to set off legal and scientific debates, is the first in the nation to restrict abortions on the basis of fetal pain.",2010-04-13T23:33:13+0000
735,Texas: Investigation of Abortion Doctor,"The Harris County district attorney’s office said that it would investigate charges that a Houston doctor, Douglas Karpen, had delivered live babies during abortions and killed them.","The Harris County district attorney’s office said Wednesday that it would investigate charges that a Houston doctor had delivered live babies during third-trimester abortions and killed them after they emerged, which federal and state laws forbid. The anti-abortion group Operation Rescue made the charges based on statements by three former employees of the abortion doctor, Douglas Karpen, which could not be independently verified. The organization said the doctor’s actions echoed the charges that led to the murder conviction of Dr. Kermit Gosnell in Philadelphia. Lt. Gov. David Dewhurst said he had read the allegations “with disgust,” and called for a full investigation. ",2013-05-16T03:31:09+0000
736,Protesters at Supreme Court Abortion Hearing,People demonstrated outside the Supreme Court on Wednesday during arguments in its first major abortion case in almost a decade.,People demonstrated outside the Supreme Court on Wednesday during arguments in its first major abortion case in almost a decade.,2016-03-02T17:00:32+0000
737,Abortion Pills Aren’t Enough to Keep Coat Hangers in the Closet,Medication abortions will not solve all the problems of a post-Roe world.,"As abortion rights have come under increasing attack in the United States, commentators have held up self-administered abortion pills as a backup plan for a post-Roe world. They point to the millions of pregnant women worldwide who are using pills to self-manage abortion, citing them as an example of what reproductive health care might look like should in-clinic abortions be made illegal. ",2018-11-26T00:00:04+0000
738,An Abortion Clinic’s Fate Before a Transformed Supreme Court,The court will soon hear arguments in its first major abortion case since the retirement of Justice Anthony M. Kennedy. It could leave Louisiana with a single abortion clinic.,"SHREVEPORT, La. — Kathaleen Pittman, the director of the Hope Medical Group for Women, remembers when there were 11 abortion clinics in Louisiana. Now there are only three, hers among them. Soon, depending on how the Supreme Court rules in a case to be argued on Wednesday, there may be just one, in New Orleans, more than 300 miles away.",2020-03-03T10:00:20+0000
739,The Looming Abortion Showdown,"  For very different reasons, abortion rights advocates and their opponents agree that the Supreme Court should hear a Pennsylvania case that challenges Roe v. Wade -- and decide it in the coming election year. The pro-choice forces want clarification of the 1973 ruling, which has been under attack by the high court's newer members. Pro-life forces want the justices to flatly overrule Roe.    What a fascinating situation. Roe's defenders no longer resist attempts to re-examine the ruling's constitutional protections for a woman's right to choose between giving birth or terminating a pregnancy. And Roe's opponents seek their desired result at the hands of justices appointed by Presidents Reagan and Bush -- which in turn could hurt the Bush re-election campaign next fall.","For very different reasons, abortion rights advocates and their opponents agree that the Supreme Court should hear a Pennsylvania case that challenges Roe v. Wade -- and decide it in the coming election year. The pro-choice forces want clarification of the 1973 ruling, which has been under attack by the high court's newer members. Pro-life forces want the justices to flatly overrule Roe.",1991-12-18T05:00:00+0000
740,Why the Left Is Losing on Abortion,The volatile issue is front and center in Judge Amy Coney Barrett’s nomination to the Supreme Court. An abortion rights leader tells us how we got to this point.,"Most Americans say that abortion should be legal with some restrictions, but President Trump’s nominee for the Supreme Court, Amy Coney Barrett, signed a statement in a 2006 newspaper advertisement opposing “abortion on demand.” Her accession would bolster a conservative majority among the justices.",2020-10-12T10:00:07+0000
741,The Looming Abortion Showdown,"  For very different reasons, abortion rights advocates and their opponents agree that the Supreme Court should hear a Pennsylvania case that challenges Roe v. Wade -- and decide it in the coming election year. The pro-choice forces want clarification of the 1973 ruling, which has been under attack by the high court's newer members. Pro-life forces want the justices to flatly overrule Roe.    What a fascinating situation. Roe's defenders no longer resist attempts to re-examine the ruling's constitutional protections for a woman's right to choose between giving birth or terminating a pregnancy. And Roe's opponents seek their desired result at the hands of justices appointed by Presidents Reagan and Bush -- which in turn could hurt the Bush re-election campaign next fall.","For very different reasons, abortion rights advocates and their opponents agree that the Supreme Court should hear a Pennsylvania case that challenges Roe v. Wade -- and decide it in the coming election year. The pro-choice forces want clarification of the 1973 ruling, which has been under attack by the high court's newer members. Pro-life forces want the justices to flatly overrule Roe.",1991-12-18T05:00:00+0000
742,Abortion After 20 Weeks,States are pushing for new restrictions on reproductive freedom. But the courts are swatting at least some of these down.,"On the list of treasured Republican pastimes, trying to outlaw abortion and imposing a right-wing agenda on the District of Columbia (which is heavily Democratic and lacks any representation in Congress) both rank high.",2013-05-23T14:14:17+0000
743,What Reduces Abortion Rates?,The problem with claiming that liberal abortion laws always lead to lower abortion rates.,"As a follow-up to Sunday’s column on abortion and contraception, I should say something about the indefatigable Will Saletan’s most recent attempt to make his recurring “pro-life case for Planned Parenthood.” In the piece, written in the wake of the Komen controversy, Saletan cited a recent study from the Guttmacher Institute looking at trends in abortion worldwide, which included the following analysis:",2012-02-21T17:23:21+0000
744,Democrats Navigate Nuanced Views on Abortion Among Black Voters,"Faced with a streak of conservatism about abortion among some Black Americans, a vital constituency for President Biden, Democrats are framing the issue as part of a broader civil rights struggle.","As she and other faith leaders sat last month with Vice President Kamala Harris to discuss the implications of the Supreme Court overturning Roe v. Wade, the Rev. Najuma Smith-Pollard, a pastor at a Black church in Los Angeles, reflected on the complex feelings in her community about abortion.",2022-07-18T21:18:11+0000
745,Legal Abortions Decline,"  The number of legal abortions in the United States fell by more than 4 percent from an estimated 1,574,000 in 1982, to 1,508,000 in 1984, according to an analysis of reports from state health departments. The rate of abortions fell even more, by 5 percent, because the number of women of childbearing age rose slightly in that period.","The number of legal abortions in the United States fell by more than 4 percent from an estimated 1,574,000 in 1982, to 1,508,000 in 1984, according to an analysis of reports from state health departments. The rate of abortions fell even more, by 5 percent, because the number of women of childbearing age rose slightly in that period.",1986-03-11T05:00:00+0000
746,Silence on Abortion Equals Death,Trump’s global ban on funding clinics that even discuss abortion leads to unsafe procedures and the spread of disease.,"In one of his first acts as president, Donald Trump introduced a ban on funding for any international organization that, anywhere in its health care programs, provides or even discusses abortions with patients, other than in cases of rape, incest or life endangerment.",2017-01-24T16:34:19+0000
747,Fewer Abortion Clinics in Texas,"If the law requiring abortion facilities to be licensed as ambulatory surgery centers takes effect, Texas would be left with fewer than 10 clinics.","If the law requiring abortion facilities to be licensed as ambulatory surgery centers takes effect, Texas would be left with fewer than 10 clinics.",2014-08-05T01:42:06+0000
748,Why I Provide Abortions,I went back home to Alabama because women in the South are being denied the abortions that are their legal right.,"IN public health, you go where the crisis is. If there is an outbreak and you have the ability to relieve suffering, you rush to the site of the need. This is why, a year and a half ago, I returned to my hometown, Birmingham, Ala., to provide abortions.",2015-11-18T08:21:08+0000
749,Seeing Abortion Laws From a Teenager’s Point of View,"Eliza Hittman explains how she came to make her timely odyssey “Never Rarely Sometimes Always,” the unusual movie about abortion rights that makes bureaucracy the villain.","Before writing her new movie, “Never Rarely Sometimes Always,” about the odyssey of a 17-year-old girl in present-day Pennsylvania seeking a legal abortion, the director Eliza Hittman embarked on a journey of her own. Hittman makes movies of quietly operatic intensity about vulnerable characters in unremarkable places. To find their narratives, she begins in the field, exploring prospective locations like a sculptor wandering a quarry.",2020-04-03T14:00:08+0000
750,The Abortion Debate Flares Again,House Democrats — including top female lawmakers — denounced a restrictive amendment on abortion that had been brokered so that conservative Democrats might support the House health care bill.,Updated: The House voted 240 to 194 in favor of a restrictive abortion amendment that signaled a shift in the political center on abortion rights. Opponents of the measure — including many Democratic female lawmakers — called it the most regressive provision on the issue of reproductive rights since the Henry Hyde amendment. ,2009-11-08T01:46:08+0000
751,Abortion is already starting to reshape these notable midterm campaigns.,"In Pennsylvania, Georgia and beyond, the prospective fall of Roe v. Wade hangs over key primary and general elections.","There was never any doubt that an impending Supreme Court decision on abortion, expected over the summer, would have an outsize effect on the midterm campaigns this year. The issue just wasn’t expected to upend the races so soon.",2022-05-06T13:31:49+0000
752,Climate of Confrontation on Abortion,"  OVER the years, Dr. Steven G. Kaali has become inured to protesters standing outside his abortion and fertility clinic here with signs reading, ""Babies are being murdered in there."" He has also become used to criticism from abortion foes who follow him to the supermarket, his home in Greenwich and the playground at his children's school.   Last Saturday was no exception outside the Women's Medical Pavilion on Ashford Avenue, where Dr. Kaali is the medical director, although he said that he was surprised the picketers came out in the sleet and freezing rain. On that day, 4 people braved the weather to oppose the 2,000 abortions performed at the clinic each year. More often Saturday mornings will find up to 25 protesters.","OVER the years, Dr. Steven G. Kaali has become inured to protesters standing outside his abortion and fertility clinic here with signs reading, ""Babies are being murdered in there."" He has also become used to criticism from abortion foes who follow him to the supermarket, his home in Greenwich and the playground at his children's school.",1994-01-16T05:00:00+0000
753,The Abortion Mysticism of Pete Buttigieg,How the party of science decided that personhood begins at birth.,"Pete Buttigieg, the mayor of South Bend, Ind., has made his Christian piety a minor theme of his presidential campaign — quoting Proverbs on the debate stage to critique Republican opposition to a minimum-wage increase, attacking conservative evangelicals over their “porn star presidency” and un-biblical approach to refugees, urging his party to court religious voters and take religion more seriously.",2019-09-17T10:00:06+0000
754,Google in shift on 'abortion' as keyword,"After a lawsuit from a Christian anti-abortion group, Google is allowing religious organizations to take out ads using the keyword ""abortion,"" a rare case of the search giant admitting it was wrong.","After a lawsuit from a Christian anti-abortion group, Google is allowing religious organizations to take out ads using the keyword ""abortion,"" a rare case of the search giant admitting it was wrong.",2008-09-22T05:00:00+0000
755,The Race to Limit Abortion Access,"Four states have passed “heartbeat bills,” and Alabama is close to banning most abortions completely, a direct challenge to Roe v. Wade.","You’re reading In Her Words, where women rule the headlines. ",2019-05-10T14:58:09+0000
